graph_id,n,h,beta,K,variant,log_Z
n30_graph1,30,0.0,0.1,5,exact,21.020149
n30_graph1,30,0.0,0.1,6,asym,21.020595
n30_graph1,30,0.0,0.1,6,exact,21.020155
n30_graph1,30,0.0,0.1,7,asym,21.020596
n30_graph1,30,0.0,0.1,7,exact,21.020155
n30_graph1,30,0.0,0.2,3,asym,21.698692
n30_graph1,30,0.0,0.2,3,exact,21.696138
n30_graph1,30,0.0,0.2,4,asym,21.701725
n30_graph1,30,0.0,0.2,4,exact,21.697655
n30_graph1,30,0.0,0.2,5,asym,21.702683
n30_graph1,30,0.0,0.2,5,exact,21.698254
n30_graph1,30,0.0,0.2,6,asym,21.702998
n30_graph1,30,0.0,0.2,6,exact,21.698569
n30_graph1,30,0.0,0.2,7,asym,21.703105
n30_graph1,30,0.0,0.2,7,exact,21.698676
n30_graph1,30,0.0,0.3,3,asym,22.822311
n30_graph1,30,0.0,0.3,3,exact,22.814171
n30_graph1,30,0.0,0.3,4,asym,22.836663
n30_graph1,30,0.0,0.3,4,exact,22.821347
n30_graph1,30,0.0,0.3,5,asym,22.843370
n30_graph1,30,0.0,0.3,5,exact,22.825539
n30_graph1,30,0.0,0.3,6,asym,22.846628
n30_graph1,30,0.0,0.3,6,exact,22.828797
n30_graph1,30,0.0,0.3,7,asym,22.848256
n30_graph1,30,0.0,0.3,7,exact,22.830425
n30_graph1,30,0.0,0.5,3,asym,26.325055
n30_graph1,30,0.0,0.5,3,exact,26.293683
n30_graph1,30,0.0,0.5,4,asym,26.414246
n30_graph1,30,0.0,0.5,4,exact,26.338279
n30_graph1,30,0.0,0.5,5,asym,26.480984
n30_graph1,30,0.0,0.5,5,exact,26.379990
n30_graph1,30,0.0,0.5,6,asym,26.532673
n30_graph1,30,0.0,0.5,6,exact,26.431680
n30_graph1,30,0.0,0.5,7,asym,26.573729
n30_graph1,30,0.0,0.5,7,exact,26.472735
n30_graph1,30,0.0,0.8,3,asym,34.220743
n30_graph1,30,0.0,0.8,3,exact,34.135139
n30_graph1,30,0.0,0.8,4,asym,34.576085
n30_graph1,30,0.0,0.8,4,exact,34.312810
n30_graph1,30,0.0,0.8,5,asym,34.964661
n30_graph1,30,0.0,0.8,5,exact,34.555670
n30_graph1,30,0.0,0.8,6,asym,35.403361
n30_graph1,30,0.0,0.8,6,exact,34.994369
n30_graph1,30,0.0,0.8,7,asym,35.909591
n30_graph1,30,0.0,0.8,7,exact,35.500600
n30_graph1,30,0.0,1,3,asym,40.802358
n30_graph1,30,0.0,1,3,exact,40.680406
n30_graph1,30,0.0,1,4,asym,41.382361
n30_graph1,30,0.0,1,4,exact,40.970408
n30_graph1,30,0.0,1,5,asym,42.112312
n30_graph1,30,0.0,1,5,exact,41.426627
n30_graph1,30,0.0,1,6,asym,43.063040
n30_graph1,30,0.0,1,6,exact,42.377356
n30_graph1,30,0.0,1,7,asym,44.329853
n30_graph1,30,0.0,1,7,exact,43.644168
n30_graph1,30,0.0,1.3,3,asym,51.986307
n30_graph1,30,0.0,1.3,3,exact,51.821431
n30_graph1,30,0.0,1.3,4,asym,52.864629
n30_graph1,30,0.0,1.3,4,exact,52.260592
n30_graph1,30,0.0,1.3,5,asym,54.108679
n30_graph1,30,0.0,1.3,5,exact,53.038123
n30_graph1,30,0.0,1.3,6,asym,55.939097
n30_graph1,30,0.0,1.3,6,exact,54.868541
n30_graph1,30,0.0,1.3,7,asym,58.702105
n30_graph1,30,0.0,1.3,7,exact,57.631550
n30_graph1,30,0.0,1.8,3,asym,72.635212
n30_graph1,30,0.0,1.8,3,exact,72.430375
n30_graph1,30,0.0,1.8,4,asym,73.814790
n30_graph1,30,0.0,1.8,4,exact,73.020164
n30_graph1,30,0.0,1.8,5,asym,75.625358
n30_graph1,30,0.0,1.8,5,exact,74.151769
n30_graph1,30,0.0,1.8,6,asym,78.518955
n30_graph1,30,0.0,1.8,6,exact,77.045366
n30_graph1,30,0.0,1.8,7,asym,83.273455
n30_graph1,30,0.0,1.8,7,exact,81.799865
n30_graph1,30,0.0,2.5,3,asym,103.302499
n30_graph1,30,0.0,2.5,3,exact,103.078120
n30_graph1,30,0.0,2.5,4,asym,104.635616
n30_graph1,30,0.0,2.5,4,exact,103.744678
n30_graph1,30,0.0,2.5,5,asym,106.747694
n30_graph1,30,0.0,2.5,5,exact,105.064727
n30_graph1,30,0.0,2.5,6,asym,110.233218
n30_graph1,30,0.0,2.5,6,exact,108.550252
n30_graph1,30,0.0,2.5,7,asym,116.149495
n30_graph1,30,0.0,2.5,7,exact,114.466529
n30_graph1,30,0.0,5,3,asym,215.528850
n30_graph1,30,0.0,5,3,exact,215.297846
n30_graph1,30,0.0,5,4,asym,216.914781
n30_graph1,30,0.0,5,4,exact,215.990812
n30_graph1,30,0.0,5,5,asym,219.132126
n30_graph1,30,0.0,5,5,exact,217.376652
n30_graph1,30,0.0,5,6,asym,222.827458
n30_graph1,30,0.0,5,6,exact,221.071985
n30_graph1,30,0.0,5,7,asym,229.161899
n30_graph1,30,0.0,5,7,exact,227.406425
n40_graph0,40,0.0,0.1,3,asym,28.026708
n40_graph0,40,0.0,0.1,3,exact,28.028357
