graph_id,n,h,init,dynamics,beta,step,log_Z
n16_graph0,16,0.0,ground,glauber,1.3,90,30.804329
n16_graph0,16,0.0,ground,glauber,1.3,148,31.048873
n16_graph0,16,0.0,ground,glauber,1.3,245,31.236198
n16_graph0,16,0.0,ground,glauber,1.3,404,31.805344
n16_graph0,16,0.0,ground,glauber,1.3,667,31.850687
n16_graph0,16,0.0,ground,glauber,1.3,1101,32.031725
n16_graph0,16,0.0,ground,glauber,1.3,1816,31.936135
n16_graph0,16,0.0,ground,glauber,1.3,2995,31.995218
n16_graph0,16,0.0,ground,glauber,1.3,4939,31.975741
n16_graph0,16,0.0,ground,glauber,1.3,8146,31.911301
n16_graph0,16,0.0,ground,glauber,1.3,13435,31.882646
n16_graph0,16,0.0,ground,glauber,1.3,22158,31.849336
n16_graph0,16,0.0,ground,glauber,1.3,36543,31.990019
n16_graph0,16,0.0,ground,glauber,1.3,60268,31.964225
n16_graph0,16,0.0,ground,glauber,1.3,99395,31.938645
n16_graph0,16,0.0,ground,glauber,1.3,163925,31.933677
n16_graph0,16,0.0,ground,glauber,1.3,270347,31.919685
n16_graph0,16,0.0,ground,glauber,1.3,445860,31.924325
n16_graph0,16,0.0,ground,glauber,1.3,735319,31.928472
n16_graph0,16,0.0,ground,glauber,1.3,1212699,31.908737
n16_graph0,16,0.0,ground,glauber,1.3,2000000,31.904550
n16_graph0,16,0.0,ground,glauber,1.4,1,33.090355
n16_graph0,16,0.0,ground,glauber,1.4,2,33.100338
n16_graph0,16,0.0,ground,glauber,1.4,4,33.169832
n16_graph0,16,0.0,ground,glauber,1.4,7,33.872720
n16_graph0,16,0.0,ground,glauber,1.4,12,34.106043
n16_graph0,16,0.0,ground,glauber,1.4,20,33.395595
n16_graph0,16,0.0,ground,glauber,1.4,33,33.676801
n16_graph0,16,0.0,ground,glauber,1.4,54,33.841840
n16_graph0,16,0.0,ground,glauber,1.4,90,33.204329
n16_graph0,16,0.0,ground,glauber,1.4,148,33.448873
n16_graph0,16,0.0,ground,glauber,1.4,245,33.636198
n16_graph0,16,0.0,ground,glauber,1.4,404,34.205344
n16_graph0,16,0.0,ground,glauber,1.4,667,34.250687
n16_graph0,16,0.0,ground,glauber,1.4,1101,34.431725
n16_graph0,16,0.0,ground,glauber,1.4,1816,34.334394
n16_graph0,16,0.0,ground,glauber,1.4,2995,34.394163
n16_graph0,16,0.0,ground,glauber,1.4,4939,34.374828
n16_graph0,16,0.0,ground,glauber,1.4,8146,34.310747
n16_graph0,16,0.0,ground,glauber,1.4,13435,34.280865
n16_graph0,16,0.0,ground,glauber,1.4,22158,34.248134
