graph_id,n,h,h_eff,beta,method,m,log_Z,log_Z_exact,rel_err,error_bound,runtime_s
n16_graph0,16,0.5,0.5,0.1,naive,2,12.083369,11.238822,7.514544e-02,4.151874e+01,0.0002
n16_graph0,16,0.5,0.5,0.1,naive,4,10.976000,11.238822,2.338525e-02,2.039560e+01,0.0015
n16_graph0,16,0.5,0.5,0.1,naive,6,11.345077,11.238822,9.454239e-03,1.192750e+01,0.0126
n16_graph0,16,0.5,0.5,0.1,naive,8,11.185535,11.238822,4.741376e-03,7.595323e+00,0.0318
n16_graph0,16,0.5,0.5,0.1,naive,10,11.266231,11.238822,2.438781e-03,5.087883e+00,0.0503
n16_graph0,16,0.5,0.5,0.2,naive,2,11.647676,11.735362,7.471911e-03,1.614723e+01,0.0002
n16_graph0,16,0.5,0.5,0.2,naive,4,11.895913,11.735362,1.368101e-02,6.494285e+00,0.0015
n16_graph0,16,0.5,0.5,0.2,naive,6,11.708702,11.735362,2.271763e-03,3.109464e+00,0.0123
n16_graph0,16,0.5,0.5,0.2,naive,8,11.713658,11.735362,1.849394e-03,1.621150e+00,0.0317
n16_graph0,16,0.5,0.5,0.2,naive,10,11.747678,11.735362,1.049505e-03,8.891096e-01,0.0507
n16_graph0,16,0.5,0.5,0.3,naive,2,12.274334,12.715099,3.466466e-02,8.366219e+00,0.0002
n16_graph0,16,0.5,0.5,0.3,naive,4,12.697027,12.715099,1.421275e-03,2.754887e+00,0.0015
n16_graph0,16,0.5,0.5,0.3,naive,6,12.744676,12.715099,2.326170e-03,1.079939e+00,0.0130
n16_graph0,16,0.5,0.5,0.3,naive,8,12.727788,12.715099,9.979710e-04,4.609756e-01,0.0328
n16_graph0,16,0.5,0.5,0.3,naive,10,12.715106,12.715099,5.686049e-07,2.069908e-01,0.0519
n16_graph0,16,0.5,0.5,0.5,naive,2,16.615689,16.717827,6.109520e-03,3.024448e+00,0.0002
n16_graph0,16,0.5,0.5,0.5,naive,4,16.691896,16.717827,1.551050e-03,6.675793e-01,0.0015
n16_graph0,16,0.5,0.5,0.5,naive,6,16.709516,16.717827,4.970971e-04,1.754205e-01,0.0123
n16_graph0,16,0.5,0.5,0.5,naive,8,16.714924,16.717827,1.736373e-04,5.019280e-02,0.0322
n16_graph0,16,0.5,0.5,0.5,naive,10,16.716718,16.717827,6.628631e-05,1.510764e-02,0.0514
n16_graph0,16,0.5,0.5,0.8,naive,2,25.666779,25.669520,1.067639e-04,8.786173e-01,0.0002
n16_graph0,16,0.5,0.5,0.8,naive,4,25.669250,25.669520,1.052484e-05,1.064339e-01,0.0015
n16_graph0,16,0.5,0.5,0.8,naive,6,25.669468,25.669520,2.030479e-06,1.534902e-02,0.0124
n16_graph0,16,0.5,0.5,0.8,naive,8,25.669505,25.669520,5.788130e-07,2.410266e-03,0.0315
n16_graph0,16,0.5,0.5,0.8,naive,10,25.669513,25.669520,2.721413e-07,3.981472e-04,0.0502
n16_graph0,16,0.5,0.5,1.0,naive,2,32.015653,32.015923,8.440206e-06,4.200639e-01,0.0002
n16_graph0,16,0.5,0.5,1.0,naive,4,32.015912,32.015923,3.574311e-07,3.410968e-02,0.0015
n16_graph0,16,0.5,0.5,1.0,naive,6,32.015922,32.015923,4.406963e-08,3.297317e-03,0.0137
n16_graph0,16,0.5,0.5,1.0,naive,8,32.015923,32.015923,1.013220e-08,3.470781e-04,0.0330
n16_graph0,16,0.5,0.5,1.0,naive,10,32.015923,32.015923,5.414117e-09,3.843157e-05,0.0516
n16_graph0,16,0.5,0.5,1.3,naive,2,41.601841,41.601852,2.727844e-07,1.484008e-01,0.0002
n16_graph0,16,0.5,0.5,1.3,naive,4,41.601852,41.601852,2.752131e-09,6.613355e-03,0.0015
n16_graph0,16,0.5,0.5,1.3,naive,6,41.601852,41.601852,1.844934e-10,3.508554e-04,0.0123
n16_graph0,16,0.5,0.5,1.3,naive,8,41.601852,41.601852,3.613069e-11,2.026833e-05,0.0317
n16_graph0,16,0.5,0.5,1.3,naive,10,41.601852,41.601852,2.499735e-11,1.231692e-06,0.0506
n16_graph0,16,0.5,0.5,1.8,naive,2,57.600054,57.600054,1.690938e-09,2.885875e-02,0.0002
n16_graph0,16,0.5,0.5,1.8,naive,4,57.600054,57.600054,1.156728e-12,4.731171e-04,0.0015
n16_graph0,16,0.5,0.5,1.8,naive,6,57.600054,57.600054,3.046943e-14,9.233800e-06,0.0124
n16_graph0,16,0.5,0.5,1.8,naive,8,57.600054,57.600054,6.044542e-15,1.962347e-07,0.0312
n16_graph0,16,0.5,0.5,1.8,naive,10,57.600054,57.600054,5.304394e-15,4.386979e-09,0.0494
n16_graph0,16,0.5,0.5,2.5,naive,2,80.000000,80.000000,2.125233e-12,3.213569e-03,0.0002
n16_graph0,16,0.5,0.5,2.5,naive,4,80.000000,80.000000,0.000000e+00,1.299172e-05,0.0015
n16_graph0,16,0.5,0.5,2.5,naive,6,80.000000,80.000000,0.000000e+00,6.252678e-08,0.0126
n16_graph0,16,0.5,0.5,2.5,naive,8,80.000000,80.000000,0.000000e+00,3.276794e-10,0.0319
n16_graph0,16,0.5,0.5,2.5,naive,10,80.000000,80.000000,0.000000e+00,1.806453e-12,0.0498
n16_graph0,16,0.5,0.5,5.0,naive,2,160.000000,160.000000,0.000000e+00,1.642546e-06,0.0002
n16_graph0,16,0.5,0.5,5.0,naive,4,160.000000,160.000000,0.000000e+00,4.474290e-11,0.0016
n16_graph0,16,0.5,0.5,5.0,naive,6,160.000000,160.000000,0.000000e+00,1.450946e-15,0.0123
n16_graph0,16,0.5,0.5,5.0,naive,8,160.000000,160.000000,0.000000e+00,5.123443e-20,0.0316
n16_graph0,16,0.5,0.5,5.0,naive,10,160.000000,160.000000,0.000000e+00,1.903123e-24,0.0492
n16_graph0,16,1.0,1.0,0.1,naive,2,11.957236,11.320774,5.622073e-02,1.614723e+01,0.0002
n16_graph0,16,1.0,1.0,0.1,naive,4,11.158446,11.320774,1.433892e-02,6.494285e+00,0.0015
n16_graph0,16,1.0,1.0,0.1,naive,6,11.374156,11.320774,4.715434e-03,3.109464e+00,0.0129
n16_graph0,16,1.0,1.0,0.1,naive,8,11.299039,11.320774,1.919903e-03,1.621150e+00,0.0324
n16_graph0,16,1.0,1.0,0.1,naive,10,11.329811,11.320774,7.982843e-04,8.891096e-01,0.0503
n16_graph0,16,1.0,1.0,0.2,naive,2,12.103185,12.185603,6.763573e-03,4.872511e+00,0.0002
n16_graph0,16,1.0,1.0,0.2,naive,4,12.245220,12.185603,4.892401e-03,1.313616e+00,0.0015
n16_graph0,16,1.0,1.0,0.2,naive,6,12.181176,12.185603,3.632482e-04,4.216041e-01,0.0130
n16_graph0,16,1.0,1.0,0.2,naive,8,12.181553,12.185603,3.323191e-04,1.473414e-01,0.0330
n16_graph0,16,1.0,1.0,0.2,naive,10,12.186827,12.185603,1.004545e-04,5.416753e-02,0.0530
n16_graph0,16,1.0,1.0,0.3,naive,2,13.843905,14.010783,1.191071e-02,1.953938e+00,0.0002
n16_graph0,16,1.0,1.0,0.3,naive,4,14.003114,14.010783,5.473825e-04,3.531089e-01,0.0015
n16_graph0,16,1.0,1.0,0.3,naive,6,14.013375,14.010783,1.850217e-04,7.596739e-02,0.0121
n16_graph0,16,1.0,1.0,0.3,naive,8,14.011615,14.010783,5.936797e-05,1.779629e-02,0.0308
n16_graph0,16,1.0,1.0,0.3,naive,10,14.010839,14.010783,3.992942e-06,4.385568e-03,0.0478
n16_graph0,16,1.0,1.0,0.5,naive,2,20.341805,20.358163,8.034958e-04,4.200639e-01,0.0002
n16_graph0,16,1.0,1.0,0.5,naive,4,20.356758,20.358163,6.902594e-05,3.410968e-02,0.0015
n16_graph0,16,1.0,1.0,0.5,naive,6,20.358004,20.358163,7.833873e-06,3.297317e-03,0.0124
n16_graph0,16,1.0,1.0,0.5,naive,8,20.358143,20.358163,9.791518e-07,3.470781e-04,0.0316
n16_graph0,16,1.0,1.0,0.5,naive,10,20.358160,20.358163,1.474456e-07,3.843157e-05,0.0510
n16_graph0,16,1.0,1.0,0.8,naive,2,32.028122,32.028323,6.287772e-06,5.499535e-02,0.0002
n16_graph0,16,1.0,1.0,0.8,naive,4,32.028320,32.028323,1.081215e-07,1.345039e-03,0.0016
n16_graph0,16,1.0,1.0,0.8,naive,6,32.028323,32.028323,3.666751e-09,3.916197e-05,0.0124
n16_graph0,16,1.0,1.0,0.8,naive,8,32.028323,32.028323,1.580635e-10,1.241589e-06,0.0313
n16_graph0,16,1.0,1.0,0.8,naive,10,32.028323,32.028323,1.006237e-11,4.140809e-08,0.0485
n16_graph0,16,1.0,1.0,1.0,naive,2,40.005511,40.005523,2.924632e-07,1.528918e-02,0.0002
n16_graph0,16,1.0,1.0,1.0,naive,4,40.005523,40.005523,1.419522e-09,1.680186e-04,0.0015
n16_graph0,16,1.0,1.0,1.0,naive,6,40.005523,40.005523,2.004484e-11,2.198120e-06,0.0130
n16_graph0,16,1.0,1.0,1.0,naive,8,40.005523,40.005523,3.777789e-13,3.131332e-08,0.0324
n16_graph0,16,1.0,1.0,1.0,naive,10,40.005523,40.005523,1.136711e-14,4.692464e-10,0.0502
n16_graph0,16,1.0,1.0,1.3,naive,2,52.000491,52.000491,4.115849e-09,2.360582e-03,0.0002
n16_graph0,16,1.0,1.0,1.3,naive,4,52.000491,52.000491,2.471709e-12,7.813382e-06,0.0015
n16_graph0,16,1.0,1.0,1.3,naive,6,52.000491,52.000491,9.701550e-15,3.078787e-08,0.0122
n16_graph0,16,1.0,1.0,1.3,naive,8,52.000491,52.000491,1.366415e-16,1.321003e-10,0.0320
n16_graph0,16,1.0,1.0,1.3,naive,10,52.000491,52.000491,1.366415e-16,5.962418e-13,0.0506
n16_graph0,16,1.0,1.0,1.8,naive,2,72.000009,72.000009,5.995401e-12,1.118536e-04,0.0002
n16_graph0,16,1.0,1.0,1.8,naive,4,72.000009,72.000009,1.973730e-16,5.010499e-08,0.0015
n16_graph0,16,1.0,1.0,1.8,naive,6,72.000009,72.000009,0.000000e+00,2.671977e-11,0.0125
n16_graph0,16,1.0,1.0,1.8,naive,8,72.000009,72.000009,0.000000e+00,1.551558e-14,0.0318
n16_graph0,16,1.0,1.0,1.8,naive,10,72.000009,72.000009,0.000000e+00,9.477581e-18,0.0501
n16_graph0,16,1.0,1.0,2.5,naive,2,100.000000,100.000000,8.526513e-16,1.642546e-06,0.0002
