graph_id,n,h,beta,init,dynamics,step,running_mean_E
n16_graph0,16,0.0,0.3,ground,metropolis,1589,-7.0258
n16_graph0,16,0.0,0.3,ground,metropolis,1771,-7.0367
n16_graph0,16,0.0,0.3,ground,metropolis,1974,-6.96251
n16_graph0,16,0.0,0.3,ground,metropolis,2200,-7.18636
n16_graph0,16,0.0,0.3,ground,metropolis,2452,-7.41109
n16_graph0,16,0.0,0.3,ground,metropolis,2732,-7.96999
n16_graph0,16,0.0,0.3,ground,metropolis,3045,-7.79704
n16_graph0,16,0.0,0.3,ground,metropolis,3394,-7.91632
n16_graph0,16,0.0,0.3,ground,metropolis,3783,-7.79223
n16_graph0,16,0.0,0.3,ground,metropolis,4216,-7.7666
n16_graph0,16,0.0,0.3,ground,metropolis,4698,-7.58663
n16_graph0,16,0.0,0.3,ground,metropolis,5236,-7.46448
n16_graph0,16,0.0,0.3,ground,metropolis,5836,-7.53187
n16_graph0,16,0.0,0.3,ground,metropolis,6504,-7.6516
n16_graph0,16,0.0,0.3,ground,metropolis,7248,-7.62114
n16_graph0,16,0.0,0.3,ground,metropolis,8078,-7.54568
n16_graph0,16,0.0,0.3,ground,metropolis,9003,-7.56415
n16_graph0,16,0.0,0.3,ground,metropolis,10034,-7.60474
n16_graph0,16,0.0,0.3,ground,metropolis,11183,-7.55915
n16_graph0,16,0.0,0.3,ground,metropolis,12463,-7.68274
n16_graph0,16,0.0,0.3,ground,metropolis,13890,-7.67718
n16_graph0,16,0.0,0.3,ground,metropolis,15480,-7.6354
n16_graph0,16,0.0,0.3,ground,metropolis,17253,-7.57352
n16_graph0,16,0.0,0.3,ground,metropolis,19228,-7.50374
n16_graph0,16,0.0,0.3,ground,metropolis,21429,-7.4164
n16_graph0,16,0.0,0.3,ground,metropolis,23883,-7.46163
n16_graph0,16,0.0,0.3,ground,metropolis,26617,-7.49175
n16_graph0,16,0.0,0.3,ground,metropolis,29664,-7.52731
n16_graph0,16,0.0,0.3,ground,metropolis,33060,-7.50992
n16_graph0,16,0.0,0.3,ground,metropolis,36846,-7.4718
n16_graph0,16,0.0,0.3,ground,metropolis,41064,-7.46445
n16_graph0,16,0.0,0.3,ground,metropolis,45765,-7.54537
n16_graph0,16,0.0,0.3,ground,metropolis,51005,-7.5711
n16_graph0,16,0.0,0.3,ground,metropolis,56845,-7.61545
n16_graph0,16,0.0,0.3,ground,metropolis,63353,-7.6415
n16_graph0,16,0.0,0.3,ground,metropolis,70606,-7.68331
n16_graph0,16,0.0,0.3,ground,metropolis,78690,-7.6826
n16_graph0,16,0.0,0.3,ground,metropolis,87699,-7.73001
n16_graph0,16,0.0,0.3,ground,metropolis,97740,-7.72449
n16_graph0,16,0.0,0.3,ground,metropolis,108930,-7.71268
n16_graph0,16,0.0,0.3,ground,metropolis,121401,-7.70381
n16_graph0,16,0.0,0.3,ground,metropolis,135300,-7.71459
n16_graph0,16,0.0,0.3,ground,metropolis,150791,-7.71145
n16_graph0,16,0.0,0.3,ground,metropolis,168055,-7.69013
n16_graph0,16,0.0,0.3,ground,metropolis,187295,-7.71667
n16_graph0,16,0.0,0.3,ground,metropolis,208739,-7.70623
n16_graph0,16,0.0,0.3,ground,metropolis,232637,-7.7101
n16_graph0,16,0.0,0.3,ground,metropolis,259272,-7.72756
n16_graph0,16,0.0,0.3,ground,metropolis,288956,-7.72112
n16_graph0,16,0.0,0.3,ground,metropolis,322038,-7.71526
n16_graph0,16,0.0,0.3,ground,metropolis,358909,-7.72113
n16_graph0,16,0.0,0.3,ground,metropolis,400000,-7.69308
n16_graph0,16,0.0,0.5,ground,metropolis,1,-24
n16_graph0,16,0.0,0.5,ground,metropolis,2,-24
n16_graph0,16,0.0,0.5,ground,metropolis,3,-22
n16_graph0,16,0.0,0.5,ground,metropolis,4,-21
n16_graph0,16,0.0,0.5,ground,metropolis,5,-20.4
n16_graph0,16,0.0,0.5,ground,metropolis,6,-20
n16_graph0,16,0.0,0.5,ground,metropolis,7,-19.7143
n16_graph0,16,0.0,0.5,ground,metropolis,8,-19.5
n16_graph0,16,0.0,0.5,ground,metropolis,9,-19.3333
n16_graph0,16,0.0,0.5,ground,metropolis,10,-19.2
n16_graph0,16,0.0,0.5,ground,metropolis,11,-19.0909
n16_graph0,16,0.0,0.5,ground,metropolis,12,-19
n16_graph0,16,0.0,0.5,ground,metropolis,13,-18.9231
n16_graph0,16,0.0,0.5,ground,metropolis,15,-18.8
n16_graph0,16,0.0,0.5,ground,metropolis,17,-18.7059
n16_graph0,16,0.0,0.5,ground,metropolis,19,-18.6316
n16_graph0,16,0.0,0.5,ground,metropolis,21,-18.5714
n16_graph0,16,0.0,0.5,ground,metropolis,23,-18.5217
n16_graph0,16,0.0,0.5,ground,metropolis,26,-18.4615
n16_graph0,16,0.0,0.5,ground,metropolis,29,-18.4138
n16_graph0,16,0.0,0.5,ground,metropolis,32,-18.9375
n16_graph0,16,0.0,0.5,ground,metropolis,36,-18.8333
n16_graph0,16,0.0,0.5,ground,metropolis,40,-18
n16_graph0,16,0.0,0.5,ground,metropolis,44,-17.2273
n16_graph0,16,0.0,0.5,ground,metropolis,50,-16.36
n16_graph0,16,0.0,0.5,ground,metropolis,55,-15.9273
