graph_id,n,h,beta,step,log_Z_running
n16_graph0,16,0.0,1.0,3276,34.609370
n16_graph0,16,0.0,1.0,4032,34.603578
n16_graph0,16,0.0,1.0,4961,34.596359
n16_graph0,16,0.0,1.0,6106,34.598573
n16_graph0,16,0.0,1.0,7514,34.587311
n16_graph0,16,0.0,1.0,9247,34.586672
n16_graph0,16,0.0,1.0,11380,34.588295
n16_graph0,16,0.0,1.0,14005,34.585875
n16_graph0,16,0.0,1.0,17235,34.067577
n16_graph0,16,0.0,1.0,21211,34.064995
n16_graph0,16,0.0,1.0,26103,34.068065
n16_graph0,16,0.0,1.0,32124,33.521457
n16_graph0,16,0.0,1.0,39534,33.523760
n16_graph0,16,0.0,1.0,48653,32.971562
n16_graph0,16,0.0,1.0,59875,32.369375
n16_graph0,16,0.0,1.0,73685,31.775351
n16_graph0,16,0.0,1.0,90681,31.141185
n16_graph0,16,0.0,1.0,111597,29.816074
n16_graph0,16,0.0,1.0,137338,28.401116
n16_graph0,16,0.0,1.0,169016,26.775618
n16_graph0,16,0.0,1.0,208000,24.828444
n16_graph0,16,0.0,1.3,1,42.290355
n16_graph0,16,0.0,1.3,2,42.290355
n16_graph0,16,0.0,1.3,3,42.290355
n16_graph0,16,0.0,1.3,4,42.290355
n16_graph0,16,0.0,1.3,5,42.290355
n16_graph0,16,0.0,1.3,6,42.290355
n16_graph0,16,0.0,1.3,8,42.290355
n16_graph0,16,0.0,1.3,10,42.290355
n16_graph0,16,0.0,1.3,12,42.290355
n16_graph0,16,0.0,1.3,15,42.290355
n16_graph0,16,0.0,1.3,18,42.290355
n16_graph0,16,0.0,1.3,22,42.290355
n16_graph0,16,0.0,1.3,28,42.290355
n16_graph0,16,0.0,1.3,34,42.290355
n16_graph0,16,0.0,1.3,42,42.290355
n16_graph0,16,0.0,1.3,52,42.290355
n16_graph0,16,0.0,1.3,63,42.290355
n16_graph0,16,0.0,1.3,78,42.290355
n16_graph0,16,0.0,1.3,96,42.290355
n16_graph0,16,0.0,1.3,118,42.290355
n16_graph0,16,0.0,1.3,146,42.290355
n16_graph0,16,0.0,1.3,179,42.290355
n16_graph0,16,0.0,1.3,221,42.290355
n16_graph0,16,0.0,1.3,271,42.290355
n16_graph0,16,0.0,1.3,334,42.290355
n16_graph0,16,0.0,1.3,411,42.290355
n16_graph0,16,0.0,1.3,506,42.290355
n16_graph0,16,0.0,1.3,623,42.290355
n16_graph0,16,0.0,1.3,766,42.290355
n16_graph0,16,0.0,1.3,943,42.290355
n16_graph0,16,0.0,1.3,1161,42.290355
n16_graph0,16,0.0,1.3,1428,42.290355
n16_graph0,16,0.0,1.3,1758,42.290355
n16_graph0,16,0.0,1.3,2163,42.290355
n16_graph0,16,0.0,1.3,2662,42.290355
n16_graph0,16,0.0,1.3,3276,41.791255
n16_graph0,16,0.0,1.3,4032,41.782726
n16_graph0,16,0.0,1.3,4961,41.773207
n16_graph0,16,0.0,1.3,6106,41.768648
n16_graph0,16,0.0,1.3,7514,41.767474
n16_graph0,16,0.0,1.3,9247,41.763255
n16_graph0,16,0.0,1.3,11380,41.762613
n16_graph0,16,0.0,1.3,14005,41.765270
n16_graph0,16,0.0,1.3,17235,41.248281
n16_graph0,16,0.0,1.3,21211,41.236909
