graph_id,n,h,beta,step_n_mult,samples_per_segment,n_segments,burnin,total_steps,log_Z,runtime_s
n16_graph0,16,0.1,0.2,4,10000,63,3000,819000,11.627453,11.8203
n16_graph0,16,0.1,0.2,20,100,314,3000,973400,11.474849,8.8705
n16_graph0,16,0.1,0.2,20,300,314,3000,1036200,11.681672,3.3694
n16_graph0,16,0.1,0.2,20,1000,314,3000,1256000,11.757531,2.7354
n16_graph0,16,0.1,0.2,20,3000,314,3000,1884000,11.560846,3.1902
n16_graph0,16,0.1,0.2,20,10000,314,3000,4082000,11.552150,5.0314
n16_graph0,16,0.1,0.3,1,100,16,3000,49600,11.847237,0.0469
n16_graph0,16,0.1,0.3,1,300,16,3000,52800,12.296005,0.0510
n16_graph0,16,0.1,0.3,1,1000,16,3000,64000,12.137637,0.0734
n16_graph0,16,0.1,0.3,1,3000,16,3000,96000,12.047242,0.1145
n16_graph0,16,0.1,0.3,1,10000,16,3000,208000,12.272455,0.2208
n16_graph0,16,0.1,0.3,4,100,63,3000,195300,11.907198,0.1804
n16_graph0,16,0.1,0.3,4,300,63,3000,207900,12.592124,0.1930
n16_graph0,16,0.1,0.3,4,1000,63,3000,252000,12.534304,0.2392
n16_graph0,16,0.1,0.3,4,3000,63,3000,378000,12.345891,0.3876
n16_graph0,16,0.1,0.3,4,10000,63,3000,819000,12.259681,0.8677
n16_graph0,16,0.1,0.3,20,100,311,3000,964100,12.253454,0.8806
n16_graph0,16,0.1,0.3,20,300,311,3000,1026300,12.410406,0.9217
n16_graph0,16,0.1,0.3,20,1000,311,3000,1244000,12.223063,1.1728
n16_graph0,16,0.1,0.3,20,3000,311,3000,1866000,12.156719,1.8921
n16_graph0,16,0.1,0.3,20,10000,311,3000,4043000,12.187757,4.0146
n16_graph0,16,0.1,0.5,1,100,16,3000,49600,16.058394,0.0472
n16_graph0,16,0.1,0.5,1,300,16,3000,52800,14.854488,0.0515
n16_graph0,16,0.1,0.5,1,1000,16,3000,64000,15.104878,0.0624
n16_graph0,16,0.1,0.5,1,3000,16,3000,96000,13.975476,0.0873
n16_graph0,16,0.1,0.5,1,10000,16,3000,208000,14.401676,0.2328
n16_graph0,16,0.1,0.5,4,100,61,3000,189100,14.301773,0.1588
n16_graph0,16,0.1,0.5,4,300,61,3000,201300,14.669846,0.1646
n16_graph0,16,0.1,0.5,4,1000,61,3000,244000,14.526668,0.2440
n16_graph0,16,0.1,0.5,4,3000,61,3000,366000,14.338228,0.3508
n16_graph0,16,0.1,0.5,4,10000,61,3000,793000,14.664840,0.7886
n16_graph0,16,0.1,0.5,20,100,305,3000,945500,14.614070,0.8878
n16_graph0,16,0.1,0.5,20,300,305,3000,1006500,14.554967,0.8991
n16_graph0,16,0.1,0.5,20,1000,305,3000,1220000,14.519307,1.1554
n16_graph0,16,0.1,0.5,20,3000,305,3000,1830000,14.578931,1.8242
n16_graph0,16,0.1,0.5,20,10000,305,3000,3965000,14.480184,3.9722
n16_graph0,16,0.1,0.8,1,100,15,3000,46500,19.624302,0.0404
n16_graph0,16,0.1,0.8,1,300,15,3000,49500,20.842428,0.0483
n16_graph0,16,0.1,0.8,1,1000,15,3000,60000,20.719837,0.0510
n16_graph0,16,0.1,0.8,1,3000,15,3000,90000,20.570954,0.0895
n16_graph0,16,0.1,0.8,1,10000,15,3000,195000,20.939237,0.2012
n16_graph0,16,0.1,0.8,4,100,59,3000,182900,19.440787,0.1839
n16_graph0,16,0.1,0.8,4,300,59,3000,194700,20.438128,0.2036
n16_graph0,16,0.1,0.8,4,1000,59,3000,236000,20.647584,0.2442
n16_graph0,16,0.1,0.8,4,3000,59,3000,354000,20.554971,0.3682
n16_graph0,16,0.1,0.8,4,10000,59,3000,767000,20.631210,0.7592
n16_graph0,16,0.1,0.8,20,100,295,3000,914500,21.011442,0.8648
n16_graph0,16,0.1,0.8,20,300,295,3000,973500,20.873673,0.9098
n16_graph0,16,0.1,0.8,20,1000,295,3000,1180000,20.719234,1.1765
n16_graph0,16,0.1,0.8,20,3000,295,3000,1770000,20.837988,1.8630
n16_graph0,16,0.1,0.8,20,10000,295,3000,3835000,20.740938,4.0210
n16_graph0,16,0.1,1.0,1,100,15,3000,46500,24.964777,0.0391
n16_graph0,16,0.1,1.0,1,300,15,3000,49500,24.968680,0.0380
